Date,Device Category,Browser,Total Visitors,Sessions,Bounce Rate
2019-06-01,desktop,Firefox,38,38,0
2019-06-01,mobile,Android Webview,38,38,100
2019-06-01,mobile,Chrome,77,77,49.3506
2019-06-01,desktop,Chrome,997,1073,24.9767
2019-06-01,desktop,Edge,115,115,66.9565
2019-06-01,desktop,Firefox,153,153,50.3268
2019-06-01,desktop,Internet Explorer,115,115,33.0435
2019-06-01,desktop,Safari,192,230,33.4783
2019-06-01,mobile,Chrome,613,728,47.3901
2019-06-01,mobile,Safari,1188,1418,43.2299
2019-06-01,mobile,Safari (in-app),115,115,66.9565
2019-06-01,mobile,Samsung Internet,38,115,100
2019-06-01,tablet,Chrome,38,38,0
2019-06-01,tablet,Safari,192,192,40.1042
2019-06-02,desktop,Chrome,38,38,0
2019-06-02,desktop,Safari,38,38,100
2019-06-02,mobile,Chrome,38,38,0
2019-06-02,mobile,Safari,38,38,100
2019-06-02,mobile,Safari (in-app),77,77,0
2019-06-02,tablet,Amazon Silk,38,77,0
2019-06-01,desktop,Chrome,997,1074,24.9534
2019-06-01,desktop,Edge,115,115,66.9565
2019-06-01,desktop,Firefox,153,153,50.3268
2019-06-01,desktop,Internet Explorer,115,115,33.0435
2019-06-01,desktop,Safari,192,230,33.4783
2019-06-01,mobile,Chrome,614,729,47.3251
2019-06-01,mobile,Safari,1189,1419,43.2699
2019-06-01,mobile,Safari (in-app),115,115,66.9565
2019-06-01,mobile,Samsung Internet,38,115,100
2019-06-01,tablet,Chrome,38,38,0
2019-06-01,tablet,Safari,192,192,40.1042
2019-06-02,desktop,Chrome,920,959,44.0042
2019-06-02,desktop,Edge,153,153,0
2019-06-02,desktop,Firefox,77,77,0
2019-06-02,desktop,Internet Explorer,77,77,49.3506
2019-06-02,desktop,Safari,307,345,66.6667
2019-06-02,mobile,Chrome,460,499,38.477
2019-06-02,mobile,Safari,1611,1841,45.8446
2019-06-02,mobile,Samsung Internet,230,499,53.7074
2019-06-02,tablet,Chrome,77,77,49.3506
2019-06-02,tablet,Safari,192,192,40.1042
2019-06-03,desktop,Chrome,230,230,33.4783
2019-06-03,desktop,Edge,38,38,0
2019-06-03,desktop,Firefox,77,77,49.3506
2019-06-03,desktop,Internet Explorer,38,38,0
2019-06-03,desktop,Safari,38,38,0
2019-06-03,mobile,Android Webview,38,38,100
2019-06-03,mobile,Chrome,153,153,50.3268
2019-06-03,mobile,Safari,230,268,71.6418
2019-06-03,mobile,Safari (in-app),38,38,0
2019-06-01,desktop,Chrome,998,1074,25.0466
2019-06-01,desktop,Edge,115,115,66.9565
2019-06-01,desktop,Firefox,153,153,50.3268
2019-06-01,desktop,Internet Explorer,115,115,33.0435
2019-06-01,desktop,Safari,192,230,33.4783
2019-06-01,mobile,Chrome,614,729,47.3251
2019-06-01,mobile,Safari,1190,1420,43.2394
2019-06-01,mobile,Safari (in-app),115,115,66.9565
2019-06-01,mobile,Samsung Internet,38,115,100
2019-06-01,tablet,Chrome,38,38,0
2019-06-01,tablet,Safari,192,192,40.1042
2019-06-02,desktop,Chrome,921,959,44.0042
2019-06-02,desktop,Edge,153,153,0
